"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2024","5.70","5.98","6.04","5.50","2.87M","-5.32%"
"02/05/2024","6.02","6.02","6.07","5.87","2.12M","-0.82%"
"02/02/2024","6.07","6.66","6.87","5.88","5.61M","-8.58%"
"02/01/2024","6.64","5.65","7.14","5.60","10.20M","13.12%"
"01/31/2024","5.87","5.84","6.25","5.66","5.35M","0.00%"
"01/30/2024","5.87","5.94","6.26","5.64","7.15M","-3.14%"
"01/29/2024","6.06","5.48","6.08","5.06","11.01M","14.34%"
"01/26/2024","5.30","4.85","5.31","4.83","7.40M","9.50%"
"01/25/2024","4.84","4.51","4.84","4.44","5.10M","6.14%"
"01/24/2024","4.56","4.25","4.74","4.05","8.35M","8.83%"
"01/23/2024","4.19","3.59","4.19","3.59","7.36M","18.36%"
"01/22/2024","3.54","3.44","3.70","3.30","3.72M","8.92%"
"01/19/2024","3.25","3.21","3.32","3.11","2.17M","-0.61%"
"01/18/2024","3.27","3.39","3.42","3.13","2.72M","-2.10%"
"01/17/2024","3.34","3.39","3.41","3.26","2.19M","-3.75%"
"01/16/2024","3.47","3.65","3.69","3.35","4.16M","-4.67%"
"01/12/2024","3.64","3.73","3.90","3.51","3.24M","-1.62%"
"01/11/2024","3.70","4.03","4.10","3.64","5.10M","-10.63%"
"01/10/2024","4.14","4.14","4.26","3.84","3.48M","2.22%"
"01/09/2024","4.05","3.99","4.38","3.92","5.08M","0.00%"
"01/08/2024","4.05","3.75","4.05","3.46","4.57M","9.16%"
"01/05/2024","3.71","3.95","4.18","3.65","7.03M","-8.17%"
"01/04/2024","4.04","3.99","4.25","3.75","11.68M","3.32%"
"01/03/2024","3.91","3.67","4.01","3.45","12.51M","13.99%"
"01/02/2024","3.43","3.17","3.69","3.07","5.47M","6.19%"
"12/29/2023","3.23","3.38","3.54","3.20","6.65M","-2.12%"
"12/28/2023","3.30","3.01","3.69","2.99","9.19M","9.27%"
"12/27/2023","3.02","3.05","3.15","2.96","3.59M","-2.58%"
"12/26/2023","3.10","3.07","3.21","2.99","4.27M","4.73%"
"12/22/2023","2.96","2.63","3.13","2.60","9.03M","13.85%"
"12/21/2023","2.60","2.72","2.80","2.51","6.14M","0.39%"
"12/20/2023","2.59","2.53","2.93","2.45","8.84M","1.17%"
"12/19/2023","2.56","2.40","2.65","2.28","9.00M","0.79%"
"12/18/2023","2.54","3.06","3.43","2.46","45.22M","4.10%"
"12/15/2023","2.44","2.67","2.74","2.29","12.83M","-3.94%"
"12/14/2023","2.54","2.42","2.62","2.39","5.11M","6.72%"
"12/13/2023","2.38","2.05","2.39","2.00","3.06M","15.53%"
"12/12/2023","2.06","2.03","2.09","1.89","1.93M","1.48%"
"12/11/2023","2.03","2.19","2.19","2.00","1.84M","-6.02%"
"12/08/2023","2.16","2.20","2.22","2.12","1.98M","-1.82%"
"12/07/2023","2.20","2.15","2.23","2.13","2.26M","2.33%"
"12/06/2023","2.15","2.07","2.32","2.06","2.58M","5.65%"
"12/05/2023","2.04","2.23","2.23","2.00","2.41M","-9.15%"
"12/04/2023","2.24","1.99","2.28","1.99","3.96M","12.56%"
"12/01/2023","1.99","1.85","2.00","1.76","2.93M","8.15%"
"11/30/2023","1.84","1.96","2.03","1.83","2.35M","-3.16%"
"11/29/2023","1.90","2.05","2.25","1.88","3.49M","-6.86%"
"11/28/2023","2.04","1.93","2.05","1.90","2.43M","4.08%"
"11/27/2023","1.96","2.05","2.11","1.88","6.00M","-3.45%"
"11/24/2023","2.03","1.90","2.09","1.83","1.23M","7.98%"
"11/22/2023","1.88","1.95","2.08","1.77","1.54M","-0.53%"
"11/21/2023","1.89","2.08","2.15","1.86","2.87M","-8.70%"
"11/20/2023","2.07","2.12","2.34","2.03","7.18M","1.47%"
"11/17/2023","2.04","2.01","2.14","2.00","1.93M","4.62%"
"11/16/2023","1.95","2.12","2.13","1.89","1.96M","-6.25%"
"11/15/2023","2.08","2.13","2.33","2.07","2.23M","-4.59%"
"11/14/2023","2.18","2.23","2.24","2.08","2.75M","3.32%"
"11/13/2023","2.11","1.87","2.18","1.86","2.02M","10.76%"
"11/10/2023","1.90","2.06","2.06","1.80","2.49M","-4.75%"
"11/09/2023","2.00","2.27","2.27","2.00","1.69M","-9.09%"
"11/08/2023","2.20","2.37","2.45","2.17","2.20M","-6.38%"
"11/07/2023","2.35","2.34","2.36","2.13","2.64M","0.43%"
"11/06/2023","2.34","2.50","2.57","2.20","2.71M","-4.10%"
"11/03/2023","2.44","2.43","2.54","2.38","3.71M","9.91%"
"11/02/2023","2.22","2.30","2.40","2.15","1.89M","-1.77%"
"11/01/2023","2.26","2.25","2.30","2.18","1.54M","0.44%"
"10/31/2023","2.25","2.29","2.33","2.16","2.53M","-2.17%"
"10/30/2023","2.30","2.32","2.45","2.27","2.89M","-1.50%"
"10/27/2023","2.34","2.40","2.46","2.31","3.21M","-1.48%"
"10/26/2023","2.37","2.25","2.39","2.13","6.82M","-0.42%"
"10/25/2023","2.38","2.39","2.40","2.31","3.27M","-0.42%"
"10/24/2023","2.39","2.47","2.50","2.33","7.58M","-1.04%"
"10/23/2023","2.41","2.52","2.54","2.37","6.90M","-2.03%"
"10/20/2023","2.46","2.41","2.56","2.16","18.38M","-18.65%"
"10/19/2023","3.03","3.23","3.32","3.01","1.39M","-6.19%"
"10/18/2023","3.23","3.83","3.83","3.21","1.24M","-16.10%"
"10/17/2023","3.85","3.66","4.10","3.66","877.92K","2.53%"
"10/16/2023","3.76","3.83","4.09","3.59","1.18M","-3.22%"
"10/13/2023","3.88","3.53","4.07","3.15","2.32M","0.00%"
"10/12/2023","3.88","4.46","4.48","3.84","2.24M","-13.97%"
"10/11/2023","4.51","4.84","4.95","4.34","1.13M","-6.43%"
"10/10/2023","4.82","4.63","5.02","4.51","1.40M","3.66%"
"10/09/2023","4.65","4.57","4.93","4.56","1.42M","-0.85%"
"10/06/2023","4.69","4.48","4.75","4.03","2.46M","5.87%"
"10/05/2023","4.43","4.51","4.83","4.25","2.94M","-1.56%"
"10/04/2023","4.50","4.64","4.64","4.11","1.12M","-1.53%"
"10/03/2023","4.57","4.67","4.77","4.48","1.05M","-3.18%"
"10/02/2023","4.72","5.26","5.26","4.69","1.62M","-11.11%"
"09/29/2023","5.31","5.62","5.66","5.28","759.23K","-4.15%"
"09/28/2023","5.54","5.58","5.70","5.33","1.07M","-0.72%"
"09/27/2023","5.58","5.76","6.17","5.32","923.58K","-4.29%"
"09/26/2023","5.83","5.79","6.42","5.78","1.07M","0.87%"
"09/25/2023","5.78","5.52","5.84","5.19","1.36M","7.43%"
"09/22/2023","5.38","5.77","5.84","5.28","947.97K","-5.78%"
"09/21/2023","5.71","5.74","5.79","5.47","1.23M","-2.89%"
"09/20/2023","5.88","6.55","6.56","5.88","945.39K","-9.95%"
"09/19/2023","6.53","6.36","6.62","6.16","1.22M","1.56%"
"09/18/2023","6.43","6.93","7.06","6.36","1.37M","-5.58%"
"09/15/2023","6.81","6.74","7.17","6.40","2.97M","0.44%"
"09/14/2023","6.78","7.55","7.71","6.64","1.23M","-9.60%"
"09/13/2023","7.50","8.20","8.24","7.46","760.54K","-8.42%"
"09/12/2023","8.19","7.80","8.32","7.62","654.12K","5.13%"
"09/11/2023","7.79","7.42","7.84","7.28","666.49K","4.99%"
"09/08/2023","7.42","7.57","7.64","7.41","769.58K","-1.98%"
"09/07/2023","7.57","8.10","8.17","7.47","987.52K","-2.32%"
"09/06/2023","7.75","8.28","8.48","7.66","742.09K","-6.40%"
"09/05/2023","8.28","8.98","9.19","8.26","804.53K","-7.59%"
"09/01/2023","8.96","8.61","8.98","8.61","638.20K","4.92%"
"08/31/2023","8.54","8.94","9.10","8.34","1.13M","-4.37%"
"08/30/2023","8.93","8.74","9.06","8.60","956.43K","2.17%"
"08/29/2023","8.74","8.15","8.99","8.09","1.21M","8.98%"
"08/28/2023","8.02","7.84","8.03","7.56","568.94K","3.62%"
"08/25/2023","7.74","7.59","7.89","7.45","676.83K","3.20%"
"08/24/2023","7.50","7.55","7.69","7.30","898.09K","-0.27%"
"08/23/2023","7.52","7.52","8.06","7.45","1.11M","0.27%"
"08/22/2023","7.50","7.27","7.54","7.10","2.81M","3.09%"
"08/21/2023","7.28","7.60","7.95","6.39","4.79M","-6.97%"
"08/18/2023","7.82","7.99","8.26","7.82","677.97K","-3.69%"
"08/17/2023","8.12","8.20","8.29","7.98","716.50K","-1.10%"
"08/16/2023","8.21","8.41","8.52","8.09","1.02M","-3.07%"
"08/15/2023","8.47","8.64","8.67","8.21","1.22M","-2.53%"
"08/14/2023","8.69","8.80","8.94","8.27","1.03M","-3.01%"
"08/11/2023","8.96","9.28","9.56","8.82","695.56K","-3.45%"
"08/10/2023","9.28","9.40","9.63","9.10","658.52K","-1.17%"
"08/09/2023","9.39","10.33","10.91","9.25","1.01M","-4.48%"
"08/08/2023","9.83","9.53","9.97","9.44","816.09K","2.61%"
"08/07/2023","9.58","9.92","10.00","9.33","888.37K","-2.54%"
"08/04/2023","9.83","10.12","10.33","9.73","593.26K","-2.87%"
"08/03/2023","10.12","10.20","10.28","9.83","706.95K","-1.27%"
"08/02/2023","10.25","10.38","10.78","10.12","568.80K","-3.03%"
"08/01/2023","10.57","10.80","10.89","10.28","601.87K","-3.12%"
"07/31/2023","10.91","10.87","10.98","10.70","479.05K","0.46%"
"07/28/2023","10.86","10.14","10.90","10.14","820.97K","8.60%"
"07/27/2023","10.00","10.48","10.68","9.96","788.52K","-4.21%"
"07/26/2023","10.44","10.46","10.56","10.24","930.97K","-0.48%"
"07/25/2023","10.49","10.30","10.60","10.05","597.89K","1.84%"
"07/24/2023","10.30","10.47","10.58","9.85","757.45K","-1.81%"
"07/21/2023","10.49","10.46","10.92","10.27","967.85K","1.25%"
"07/20/2023","10.36","10.40","10.75","10.11","560.74K","-0.38%"
